2024-11-01 21:00:07,413 - INFO: Actaris(U) : Total site processed: 1, Successful rows: 0, Errors: 1
2024-11-01 21:02:07,302 - INFO: Actaris(G2) : Total site processed: 3, Successful rows: 2, Errors: 1
2024-11-01 21:02:37,811 - INFO: Actaris(G3) : Total site processed: 6, Successful rows: 3, Errors: 3
2024-11-01 21:03:29,843 - INFO: Actaris(G4) : Total site processed: 8, Successful rows: 3, Errors: 5
2024-11-01 21:06:52,213 - INFO: Actaris(G1) : Total site processed: 8, Successful rows: 4, Errors: 4
2024-11-01 21:09:02,324 - INFO: Elster EK-280 : Total site processed: 23, Successful rows: 4, Errors: 19
2024-11-02 21:00:09,024 - INFO: Actaris(U) : Total site processed: 1, Successful rows: 0, Errors: 1
2024-11-02 21:01:27,241 - INFO: Actaris(G2) : Total site processed: 2, Successful rows: 1, Errors: 1
2024-11-02 21:02:49,908 - INFO: Actaris(G3) : Total site processed: 6, Successful rows: 3, Errors: 3
2024-11-02 21:03:14,712 - INFO: Actaris(G4) : Total site processed: 7, Successful rows: 4, Errors: 3
2024-11-02 21:06:26,286 - INFO: Actaris(G1) : Total site processed: 8, Successful rows: 4, Errors: 4
2024-11-02 21:08:47,834 - INFO: Elster EK-280 : Total site processed: 23, Successful rows: 2, Errors: 21
2024-11-03 21:00:07,213 - INFO: Actaris(U) : Total site processed: 1, Successful rows: 0, Errors: 1
2024-11-03 21:01:42,112 - INFO: Actaris(G2) : Total site processed: 3, Successful rows: 1, Errors: 2
2024-11-03 21:02:49,197 - INFO: Actaris(G4) : Total site processed: 8, Successful rows: 4, Errors: 4
2024-11-03 21:02:50,380 - INFO: Actaris(G3) : Total site processed: 6, Successful rows: 3, Errors: 3
2024-11-03 21:07:24,441 - INFO: Actaris(G1) : Total site processed: 9, Successful rows: 4, Errors: 5
2024-11-03 21:08:33,563 - INFO: Elster EK-280 : Total site processed: 23, Successful rows: 3, Errors: 20
2024-11-04 21:00:07,064 - INFO: Actaris(U) : Total site processed: 1, Successful rows: 0, Errors: 1
2024-11-04 21:02:21,819 - INFO: Actaris(G4) : Total site processed: 6, Successful rows: 2, Errors: 4
2024-11-04 21:02:27,520 - INFO: Actaris(G3) : Total site processed: 5, Successful rows: 2, Errors: 3
2024-11-04 21:04:02,714 - INFO: Actaris(G2) : Total site processed: 6, Successful rows: 4, Errors: 2
2024-11-04 21:06:31,775 - INFO: Actaris(G1) : Total site processed: 7, Successful rows: 4, Errors: 3
2024-11-04 21:08:55,902 - INFO: Elster EK-280 : Total site processed: 24, Successful rows: 4, Errors: 20
2024-11-05 21:00:06,611 - INFO: Actaris(U) : Total site processed: 1, Successful rows: 0, Errors: 1
2024-11-05 21:02:43,053 - INFO: Actaris(G2) : Total site processed: 4, Successful rows: 3, Errors: 1
2024-11-05 21:04:08,050 - INFO: Actaris(G3) : Total site processed: 9, Successful rows: 5, Errors: 4
2024-11-05 21:04:40,828 - INFO: Actaris(G4) : Total site processed: 9, Successful rows: 4, Errors: 5
2024-11-05 21:07:15,031 - INFO: Actaris(G1) : Total site processed: 9, Successful rows: 5, Errors: 4
2024-11-05 21:08:21,661 - INFO: Elster EK-280 : Total site processed: 22, Successful rows: 3, Errors: 19
2024-11-06 21:00:06,736 - INFO: Actaris(U) : Total site processed: 1, Successful rows: 0, Errors: 1
2024-11-06 21:01:21,914 - INFO: Actaris(G2) : Total site processed: 1, Successful rows: 1, Errors: 0
2024-11-06 21:02:52,285 - INFO: Actaris(G3) : Total site processed: 9, Successful rows: 4, Errors: 5
2024-11-06 21:03:09,022 - INFO: Actaris(G4) : Total site processed: 9, Successful rows: 3, Errors: 6
2024-11-06 21:07:29,074 - INFO: Actaris(G1) : Total site processed: 9, Successful rows: 6, Errors: 3
2024-11-06 21:08:55,951 - INFO: Elster EK-280 : Total site processed: 24, Successful rows: 5, Errors: 19
2024-11-07 21:00:07,363 - INFO: Actaris(U) : Total site processed: 1, Successful rows: 0, Errors: 1
2024-11-07 21:01:52,489 - INFO: Actaris(G4) : Total site processed: 6, Successful rows: 2, Errors: 4
2024-11-07 21:02:03,936 - INFO: Actaris(G2) : Total site processed: 2, Successful rows: 2, Errors: 0
2024-11-07 21:03:39,845 - INFO: Actaris(G3) : Total site processed: 10, Successful rows: 5, Errors: 5
2024-11-07 21:08:38,430 - INFO: Elster EK-280 : Total site processed: 22, Successful rows: 5, Errors: 17
2024-11-07 21:09:53,405 - INFO: Actaris(G1) : Total site processed: 11, Successful rows: 8, Errors: 3
2024-11-08 21:00:05,242 - INFO: Actaris(U) : Total site processed: 1, Successful rows: 0, Errors: 1
2024-11-08 21:01:12,925 - INFO: Actaris(G2) : Total site processed: 1, Successful rows: 0, Errors: 1
2024-11-08 21:02:06,565 - INFO: Actaris(G4) : Total site processed: 7, Successful rows: 2, Errors: 5
2024-11-08 21:04:06,693 - INFO: Actaris(G3) : Total site processed: 10, Successful rows: 5, Errors: 5
2024-11-08 21:08:30,921 - INFO: Elster EK-280 : Total site processed: 22, Successful rows: 3, Errors: 19
2024-11-08 21:08:49,732 - INFO: Actaris(G1) : Total site processed: 10, Successful rows: 7, Errors: 3
2024-11-09 21:00:05,274 - INFO: Actaris(U) : Total site processed: 1, Successful rows: 0, Errors: 1
2024-11-09 21:02:17,541 - INFO: Actaris(G2) : Total site processed: 3, Successful rows: 2, Errors: 1
2024-11-09 21:02:33,712 - INFO: Actaris(G4) : Total site processed: 7, Successful rows: 2, Errors: 5
2024-11-09 21:02:41,770 - INFO: Actaris(G3) : Total site processed: 8, Successful rows: 3, Errors: 5
2024-11-09 21:06:31,677 - INFO: Actaris(G1) : Total site processed: 8, Successful rows: 4, Errors: 4
2024-11-09 21:08:23,792 - INFO: Elster EK-280 : Total site processed: 23, Successful rows: 5, Errors: 18
2024-11-10 21:00:04,087 - INFO: Actaris(U) : Total site processed: 1, Successful rows: 0, Errors: 1
2024-11-10 21:02:05,666 - INFO: Actaris(G4) : Total site processed: 7, Successful rows: 2, Errors: 5
2024-11-10 21:03:23,091 - INFO: Actaris(G2) : Total site processed: 4, Successful rows: 4, Errors: 0
2024-11-10 21:03:51,223 - INFO: Actaris(G3) : Total site processed: 11, Successful rows: 4, Errors: 7
2024-11-10 21:07:48,265 - INFO: Actaris(G1) : Total site processed: 9, Successful rows: 7, Errors: 2
2024-11-10 21:08:47,507 - INFO: Elster EK-280 : Total site processed: 24, Successful rows: 4, Errors: 20
2024-11-11 21:00:06,621 - INFO: Actaris(U) : Total site processed: 1, Successful rows: 0, Errors: 1
2024-11-11 21:02:41,409 - INFO: Actaris(G2) : Total site processed: 2, Successful rows: 2, Errors: 0
2024-11-11 21:02:44,059 - INFO: Actaris(G4) : Total site processed: 7, Successful rows: 3, Errors: 4
2024-11-11 21:03:34,395 - INFO: Actaris(G3) : Total site processed: 10, Successful rows: 4, Errors: 6
2024-11-11 21:08:43,885 - INFO: Elster EK-280 : Total site processed: 23, Successful rows: 4, Errors: 19
2024-11-11 21:08:58,105 - INFO: Actaris(G1) : Total site processed: 11, Successful rows: 8, Errors: 3
2024-11-12 21:00:05,710 - INFO: Actaris(U) : Total site processed: 1, Successful rows: 0, Errors: 1
2024-11-12 21:01:50,247 - INFO: Actaris(G4) : Total site processed: 6, Successful rows: 2, Errors: 4
2024-11-12 21:03:32,156 - INFO: Actaris(G3) : Total site processed: 9, Successful rows: 3, Errors: 6
2024-11-12 21:03:53,652 - INFO: Actaris(G2) : Total site processed: 4, Successful rows: 4, Errors: 0
2024-11-12 21:07:29,904 - INFO: Elster EK-280 : Total site processed: 20, Successful rows: 2, Errors: 18
2024-11-12 21:09:12,482 - INFO: Actaris(G1) : Total site processed: 11, Successful rows: 9, Errors: 2
2024-11-13 21:00:05,010 - INFO: Actaris(U) : Total site processed: 1, Successful rows: 0, Errors: 1
2024-11-13 21:01:19,744 - INFO: Actaris(G2) : Total site processed: 1, Successful rows: 1, Errors: 0
2024-11-13 21:03:08,581 - INFO: Actaris(G3) : Total site processed: 8, Successful rows: 2, Errors: 6
2024-11-13 21:03:30,948 - INFO: Actaris(G4) : Total site processed: 9, Successful rows: 3, Errors: 6
2024-11-13 21:06:08,213 - INFO: Actaris(G1) : Total site processed: 6, Successful rows: 4, Errors: 2
2024-11-13 21:08:42,309 - INFO: Elster EK-280 : Total site processed: 21, Successful rows: 1, Errors: 20
2024-11-14 21:00:04,747 - INFO: Actaris(U) : Total site processed: 1, Successful rows: 0, Errors: 1
2024-11-14 21:02:36,935 - INFO: Actaris(G2) : Total site processed: 3, Successful rows: 3, Errors: 0
2024-11-14 21:03:07,205 - INFO: Actaris(G3) : Total site processed: 9, Successful rows: 3, Errors: 6
2024-11-14 21:04:16,253 - INFO: Actaris(G4) : Total site processed: 10, Successful rows: 5, Errors: 5
2024-11-14 21:07:42,811 - INFO: Actaris(G1) : Total site processed: 9, Successful rows: 6, Errors: 3
2024-11-14 21:08:32,417 - INFO: Elster EK-280 : Total site processed: 22, Successful rows: 4, Errors: 18
2024-11-15 21:00:05,366 - INFO: Actaris(U) : Total site processed: 1, Successful rows: 0, Errors: 1
2024-11-15 21:01:06,928 - INFO: Actaris(G2) : Total site processed: 1, Successful rows: 0, Errors: 1
2024-11-15 21:02:50,377 - INFO: Actaris(G4) : Total site processed: 8, Successful rows: 3, Errors: 5
2024-11-15 21:03:36,460 - INFO: Actaris(G3) : Total site processed: 9, Successful rows: 3, Errors: 6
2024-11-15 21:08:04,079 - INFO: Elster EK-280 : Total site processed: 21, Successful rows: 4, Errors: 17
2024-11-15 21:08:08,455 - INFO: Actaris(G1) : Total site processed: 9, Successful rows: 6, Errors: 3
2024-11-16 21:00:04,923 - INFO: Actaris(U) : Total site processed: 1, Successful rows: 0, Errors: 1
2024-11-16 21:02:39,603 - INFO: Actaris(G2) : Total site processed: 3, Successful rows: 3, Errors: 0
2024-11-16 21:03:06,957 - INFO: Actaris(G3) : Total site processed: 8, Successful rows: 2, Errors: 6
2024-11-16 21:03:17,934 - INFO: Actaris(G4) : Total site processed: 9, Successful rows: 4, Errors: 5
2024-11-16 21:08:05,647 - INFO: Actaris(G1) : Total site processed: 9, Successful rows: 7, Errors: 2
2024-11-16 21:08:25,983 - INFO: Elster EK-280 : Total site processed: 21, Successful rows: 2, Errors: 19
2024-11-17 21:00:05,438 - INFO: Actaris(U) : Total site processed: 1, Successful rows: 0, Errors: 1
2024-11-17 21:02:00,172 - INFO: Actaris(G2) : Total site processed: 2, Successful rows: 2, Errors: 0
2024-11-17 21:03:52,477 - INFO: Actaris(G3) : Total site processed: 10, Successful rows: 4, Errors: 6
2024-11-17 21:04:49,553 - INFO: Actaris(G4) : Total site processed: 10, Successful rows: 5, Errors: 5
2024-11-17 21:06:01,128 - INFO: Actaris(G1) : Total site processed: 8, Successful rows: 3, Errors: 5
2024-11-17 21:08:49,711 - INFO: Elster EK-280 : Total site processed: 23, Successful rows: 4, Errors: 19
2024-11-18 21:00:10,008 - INFO: Actaris(U) : Total site processed: 1, Successful rows: 0, Errors: 1
2024-11-18 21:01:21,034 - INFO: Actaris(G2) : Total site processed: 1, Successful rows: 1, Errors: 0
2024-11-18 21:02:07,827 - INFO: Actaris(G3) : Total site processed: 7, Successful rows: 1, Errors: 6
