2024-12-28 21:00:09,146 - ERROR: Error occurred at 2024-12-28 21:00:09 - TCP IP: 10.68.111.146, Port: 2402, Run: 1, METERID: MET0430. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device ff!
2024-12-29 21:00:48,492 - ERROR: Error occurred at 2024-12-29 21:00:48 - TCP IP: 10.68.111.146, Port: 2402, Run: 1, METERID: MET0430. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device ff!
2024-12-29 21:01:03,569 - ERROR: Error occurred at 2024-12-29 21:01:03 - TCP IP: 10.68.111.198, Port: 2402, Run: 1, METERID: MET0476. Error: TimeoutError: timed out
2024-12-29 21:01:58,470 - ERROR: Error occurred at 2024-12-29 21:01:58 - TCP IP: 10.68.110.157, Port: 2402, Run: 1, METERID: MET0682. Error: TimeoutError: timed out
2024-12-29 21:06:48,005 - ERROR: Error occurred at 2024-12-29 21:06:47 - TCP IP: 10.68.110.79, Port: 2402, Run: 1, METERID: MET0680. Error: TimeoutError: timed out
2024-12-29 21:07:03,052 - ERROR: Error occurred at 2024-12-29 21:07:03 - TCP IP: 10.68.110.79, Port: 2404, Run: 2, METERID: MET0680. Error: TimeoutError: timed out
2024-12-30 21:00:07,909 - ERROR: Error occurred at 2024-12-30 21:00:07 - TCP IP: 10.68.111.146, Port: 2402, Run: 1, METERID: MET0430. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device ff!
2024-12-30 21:00:22,952 - ERROR: Error occurred at 2024-12-30 21:00:22 - TCP IP: 10.68.111.198, Port: 2402, Run: 1, METERID: MET0476. Error: TimeoutError: timed out
2024-12-30 21:00:38,133 - ERROR: Error occurred at 2024-12-30 21:00:37 - TCP IP: 10.68.110.157, Port: 2402, Run: 1, METERID: MET0682. Error: TimeoutError: timed out
2024-12-31 21:01:25,027 - ERROR: Error occurred at 2024-12-31 21:01:24 - TCP IP: 10.68.111.146, Port: 2402, Run: 1, METERID: MET0430. Error: BadRequest: 400 Bad Request: Error: Unexpected response code from device ff!
